,0
882,0
883,0
884,0
885,6
886,6
887,3
888,3
889,4
890,4
891,5
892,5
893,1
894,1
895,2
896,2
897,0
898,0
899,6
900,6
901,3
902,3
903,4
904,4
905,5
906,5
907,1
908,1
909,2
910,2
911,0
912,0
913,0
914,6
915,6
916,3
917,3
918,4
919,4
920,5
921,5
922,1
923,1
924,2
925,2
926,0
927,0
928,6
929,6
930,3
931,3
932,4
933,4
934,5
935,5
936,1
937,1
938,2
939,2
940,0
941,0
942,0
943,6
944,6
945,3
946,3
947,4
948,4
949,5
950,5
951,1
952,1
953,2
954,2
955,0
956,0
957,6
958,6
959,6
