,0
882,2
883,0
884,0
885,0
886,6
887,6
888,3
889,3
890,4
891,4
892,5
893,5
894,1
895,1
896,2
897,2
898,0
899,0
900,6
901,6
902,6
